listing_id,date,available,price,adjusted_price,minimum_nights,maximum_nights,,,,,,,
736534,12/29/2022,f,"$1,250.00 ","$1,250.00 ",1,1125,,,,,,,
736534,12/30/2022,f,"$1,250.00 ","$1,250.00 ",2,1125,,,,,,,
736534,12/31/2022,f,"$1,250.00 ","$1,250.00 ",2,1125,,,,,,,
736534,1/1/2023,f,"$1,250.00 ","$1,250.00 ",1,1125,,,,,,,
736534,1/2/2023,f,"$1,250.00 ","$1,250.00 ",1,1125,,,,,,,
736534,1/3/2023,f,"$1,250.00 ","$1,250.00 ",1,1125,,,,,,,
736534,1/4/2023,f,"$1,250.00 ","$1,250.00 ",1,1125,,,,,,,
736534,1/5/2023,f,"$1,250.00 ","$1,250.00 ",1,1125,,,,,,,
736534,1/6/2023,f,"$1,250.00 ","$1,250.00 ",2,1125,,,,,,,
736534,1/7/2023,f,"$1,250.00 ","$1,250.00 ",2,1125,,,,,,,
736534,1/8/2023,f,"$1,250.00 ","$1,250.00 ",1,1125,,,,,,,
736534,1/9/2023,f,"$1,250.00 ","$1,250.00 ",1,1125,,,,,,,
736534,1/10/2023,f,"$1,250.00 ","$1,250.00 ",1,1125,,,,,,,
736534,1/11/2023,f,"$1,250.00 ","$1,250.00 ",1,1125,,,,,,,
736534,1/12/2023,f,"$1,250.00 ","$1,250.00 ",1,1125,,,,,,,
736534,1/13/2023,f,"$1,250.00 ","$1,250.00 ",2,1125,,,,,,,
736534,1/14/2023,f,"$1,250.00 ","$1,250.00 ",2,1125,,,,,,,
736534,1/15/2023,f,"$1,250.00 ","$1,250.00 ",1,1125,,,,,,,
736534,1/16/2023,f,"$1,250.00 ","$1,250.00 ",1,1125,,,,,,,
736534,1/17/2023,t,"$1,250.00 ","$1,250.00 ",1,1125,,,,,,,
736534,1/18/2023,t,"$1,250.00 ","$1,250.00 ",1,1125,,,,,,,
736534,1/19/2023,f,"$1,250.00 ","$1,250.00 ",1,1125,,,,,,,
736534,1/20/2023,f,"$1,250.00 ","$1,250.00 ",2,1125,,,,,,,
736534,1/21/2023,f,"$1,250.00 ","$1,250.00 ",2,1125,,,,,,,
736534,1/22/2023,t,"$1,250.00 ","$1,250.00 ",1,1125,,,,,,,
736534,1/23/2023,t,"$1,250.00 ","$1,250.00 ",1,1125,,,,,,,
736534,1/24/2023,t,"$1,250.00 ","$1,250.00 ",1,1125,,,,,,,
736534,1/25/2023,f,"$1,250.00 ","$1,250.00 ",1,1125,,,,,,,
736534,1/26/2023,f,"$1,250.00 ","$1,250.00 ",1,1125,,,,,,,
736534,1/27/2023,t,"$1,250.00 ","$1,250.00 ",2,1125,,,,,,,
736534,1/28/2023,f,"$1,250.00 ","$1,250.00 ",2,1125,,,,,,,
736534,1/29/2023,f,"$1,250.00 ","$1,250.00 ",1,1125,,,,,,,
736534,1/30/2023,f,"$1,250.00 ","$1,250.00 ",1,1125,,,,,,,
736534,1/31/2023,f,"$1,250.00 ","$1,250.00 ",1,1125,,,,,,,
736534,2/1/2023,f,"$1,250.00 ","$1,250.00 ",1,1125,,,,,,,
736534,2/2/2023,f,"$1,250.00 ","$1,250.00 ",1,1125,,,,,,,
736534,2/3/2023,f,"$1,250.00 ","$1,250.00 ",2,1125,,,,,,,
736534,2/4/2023,f,"$1,250.00 ","$1,250.00 ",2,1125,,,,,,,
736534,2/5/2023,t,"$1,250.00 ","$1,250.00 ",1,1125,,,,,,,
736534,2/6/2023,t,"$1,250.00 ","$1,250.00 ",1,1125,,,,,,,
736534,2/7/2023,f,"$1,250.00 ","$1,250.00 ",1,1125,,,,,,,
736534,2/8/2023,f,"$1,250.00 ","$1,250.00 ",1,1125,,,,,,,
736534,2/9/2023,f,"$1,250.00 ","$1,250.00 ",1,1125,,,,,,,
736534,2/10/2023,f,"$1,250.00 ","$1,250.00 ",2,1125,,,,,,,
736534,2/11/2023,t,"$1,250.00 ","$1,250.00 ",2,1125,,,,,,,
736534,2/12/2023,t,"$1,250.00 ","$1,250.00 ",1,1125,,,,,,,
736534,2/13/2023,f,"$1,250.00 ","$1,250.00 ",1,1125,,,,,,,
736534,2/14/2023,t,"$1,250.00 ","$1,250.00 ",1,1125,,,,,,,
736534,2/15/2023,t,"$1,250.00 ","$1,250.00 ",1,1125,,,,,,,
736534,2/16/2023,t,"$1,250.00 ","$1,250.00 ",1,1125,,,,,,,
736534,2/17/2023,t,"$1,250.00 ","$1,250.00 ",2,1125,,,,,,,
736534,2/18/2023,t,"$1,250.00 ","$1,250.00 ",2,1125,,,,,,,
736534,2/19/2023,f,"$1,250.00 ","$1,250.00 ",1,1125,,,,,,,
736534,2/20/2023,f,"$1,250.00 ","$1,250.00 ",1,1125,,,,,,,
736534,2/21/2023,t,"$1,250.00 ","$1,250.00 ",1,1125,,,,,,,
736534,2/22/2023,t,"$1,250.00 ","$1,250.00 ",1,1125,,,,,,,
736534,2/23/2023,t,"$1,250.00 ","$1,250.00 ",1,1125,,,,,,,
